bodyId,type,instance,class,superclass,somaSide,sensory_group
10801,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
11498,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
12052,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
12114,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
12384,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
12397,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
12574,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
12661,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
13086,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
13110,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
13132,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
13180,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
13726,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
13764,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
13909,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
14030,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
14102,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
14132,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
14465,LPLC2,LPLC2_R,,visual_projection,R,looming_lplc
14535,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
14588,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
14689,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
14731,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
15049,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
15058,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
15253,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
15599,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
15664,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
15804,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
15893,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
15935,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
15951,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
16304,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
16377,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
16469,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
16768,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
17059,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
17302,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
17307,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
17544,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
17551,LPLC2,LPLC2_R,,visual_projection,R,looming_lplc
17677,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
17734,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
17774,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
17775,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
17831,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
17857,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
17880,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
17990,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
17993,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
18079,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
18145,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
18155,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
18282,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
18314,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
18365,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
18384,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
18477,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
18506,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
18558,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
18605,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
18631,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
18661,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
18672,LPLC2,LPLC2_R,,visual_projection,R,looming_lplc
18710,LPLC1,LPLC1_R,,visual_projection,R,looming_lplc
18718,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
18742,LPLC1,LPLC1_R,,visual_projection,R,looming_lplc
18746,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
18809,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
18895,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
18900,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
18918,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
18929,LPLC2,LPLC2_R,,visual_projection,R,looming_lplc
18936,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
18943,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
18970,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
18986,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
19034,LPLC2,LPLC2_R,,visual_projection,R,looming_lplc
19050,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
19114,LPLC1,LPLC1_R,,visual_projection,R,looming_lplc
19146,LPLC2,LPLC2_R,,visual_projection,R,looming_lplc
19202,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
19210,LPLC1,LPLC1_R,,visual_projection,R,looming_lplc
19229,LPLC2,LPLC2_R,,visual_projection,R,looming_lplc
19249,LPLC2,LPLC2_R,,visual_projection,R,looming_lplc
19403,LPLC1,LPLC1_R,,visual_projection,R,looming_lplc
19529,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
19549,LPLC2,LPLC2_R,,visual_projection,R,looming_lplc
19578,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
19580,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
19589,LPLC2,LPLC2_R,,visual_projection,R,looming_lplc
19599,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
19608,LPLC2,LPLC2_R,,visual_projection,R,looming_lplc
19653,LPLC1,LPLC1_R,,visual_projection,R,looming_lplc
19677,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
19685,LPLC1,LPLC1_R,,visual_projection,R,looming_lplc
19787,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
19830,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
19842,LPLC2,LPLC2_R,,visual_projection,R,looming_lplc
19855,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
19911,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
20031,LPLC1,LPLC1_R,,visual_projection,R,looming_lplc
20036,LPLC1,LPLC1_R,,visual_projection,R,looming_lplc
20040,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
20047,LPLC2,LPLC2_R,,visual_projection,R,looming_lplc
20074,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
20083,LPLC1,LPLC1_R,,visual_projection,R,looming_lplc
20103,LPLC2,LPLC2_R,,visual_projection,R,looming_lplc
20162,LPLC2,LPLC2_R,,visual_projection,R,looming_lplc
20175,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
20182,LPLC2,LPLC2_R,,visual_projection,R,looming_lplc
20210,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
20219,LPLC4,LPLC4_L,,visual_projection,L,looming_lplc
20240,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
20269,LPLC2,LPLC2_R,,visual_projection,R,looming_lplc
20292,LPLC1,LPLC1_L,,visual_projection,L,looming_lplc
20329,LPLC2,LPLC2_L,,visual_projection,L,looming_lplc
20334,LPLC2,LPLC2_R,,visual_projection,R,looming_lplc
20471,LPLC2,LPLC2_R,,visual_projection,R,looming_lplc
20481,LPLC4,LPLC4_R,,visual_projection,R,looming_lplc
20508,LPLC1,LPLC1_R,,visual_projection,R,looming_lplc
