group,mtype,s,r,m,w
johnstons_organ,DNa01,519307,10038,10760,72
johnstons_organ,DNa01,93383,10030,10442,67
johnstons_organ,DNa01,77370,10030,10442,67
johnstons_organ,DNa02,66302,12135,10360,37
johnstons_organ,DNa02,521628,10373,10360,36
johnstons_organ,DNa02,170014,10501,10360,31
johnstons_organ,MDN,521628,10373,10763,36
johnstons_organ,MDN,521628,10373,11332,27
johnstons_organ,MDN,521628,10373,12348,26
johnstons_organ,DNp09,109189,520341,10783,16
johnstons_organ,DNp09,65100,520341,10783,15
johnstons_organ,DNp09,512975,15718,10783,14
looming_lplc,DNa01,12574,10030,10442,63
looming_lplc,DNa01,18605,10038,10760,51
looming_lplc,DNa01,13909,10030,10442,51
looming_lplc,DNa02,21159,10333,10360,70
looming_lplc,DNa02,24992,581131,10360,69
looming_lplc,DNa02,26167,10333,10360,63
looming_lplc,MDN,19529,523821,10763,41
looming_lplc,MDN,21483,523821,10763,41
looming_lplc,MDN,19599,523821,10763,41
looming_lplc,DNp09,17544,10828,10783,32
looming_lplc,DNp09,28011,10828,10783,32
looming_lplc,DNp09,111903,10828,10783,31
